userid,Date,pv_cnt,cart_cnt,fav_cnt,buy_cnt,item_nunique,cat_nunique
14,2017-11-25,1,0,0,0,1,1
14,2017-11-27,7,0,0,0,4,2
14,2017-11-28,3,0,0,0,3,2
14,2017-11-29,2,1,0,0,2,1
14,2017-12-01,8,3,0,0,10,2
14,2017-12-02,1,0,0,0,1,1
14,2017-12-03,5,1,0,0,4,1
15,2017-11-28,3,0,0,0,3,3
15,2017-11-29,3,0,0,0,3,3
15,2017-11-30,1,0,0,0,1,1
15,2017-12-02,26,4,0,0,29,18
15,2017-12-03,2,0,0,0,2,2
16,2017-11-25,15,0,0,0,13,9
16,2017-11-26,1,0,0,0,1,1
16,2017-11-28,14,1,0,0,7,2
16,2017-11-29,12,0,2,0,14,7
16,2017-11-30,15,0,0,1,11,5
16,2017-12-01,11,0,0,1,12,7
16,2017-12-03,3,0,0,0,3,2
17,2017-11-25,52,3,0,0,49,17
17,2017-11-26,12,0,0,0,12,3
17,2017-11-28,2,0,0,0,2,2
17,2017-12-01,3,0,0,1,4,3
17,2017-12-02,10,0,0,0,10,3
17,2017-12-03,12,0,0,0,10,5
18,2017-11-25,31,0,4,0,31,15
18,2017-11-26,14,0,2,0,14,11
18,2017-11-27,3,0,1,0,4,4
18,2017-11-28,1,0,0,0,1,1
18,2017-11-29,6,0,1,0,6,5
18,2017-11-30,2,0,2,0,4,3
18,2017-12-02,6,0,1,0,5,2
18,2017-12-03,8,0,1,0,8,6
19,2017-11-25,11,0,0,0,9,6
19,2017-11-26,3,0,0,0,3,3
19,2017-11-27,3,0,0,0,3,1
19,2017-11-30,8,0,0,0,6,1
19,2017-12-01,11,0,0,0,11,7
19,2017-12-02,26,1,0,0,25,12
19,2017-12-03,12,0,0,0,12,5
20,2017-11-25,2,0,0,0,2,1
20,2017-11-26,12,0,0,0,12,7
20,2017-11-27,7,2,0,0,9,7
20,2017-11-28,9,5,0,0,11,8
20,2017-11-29,8,1,0,0,9,7
20,2017-11-30,9,2,0,0,11,7
20,2017-12-01,20,0,0,1,21,12
20,2017-12-02,18,1,0,0,18,8
20,2017-12-03,9,4,0,0,13,9
21,2017-11-25,50,1,2,0,46,18
21,2017-11-26,28,0,1,0,22,9
21,2017-11-27,123,0,1,0,101,16
21,2017-11-28,37,0,1,0,34,6
21,2017-11-29,3,0,0,0,3,3
21,2017-11-30,18,0,0,0,17,10
21,2017-12-02,39,0,1,0,37,18
21,2017-12-03,12,0,0,0,12,8
23,2017-11-25,17,0,0,0,12,8
23,2017-11-26,5,0,0,0,4,3
23,2017-11-29,4,0,0,0,4,4
23,2017-11-30,7,0,0,0,7,1
23,2017-12-01,4,0,0,0,4,3
23,2017-12-02,1,0,0,0,1,1
23,2017-12-03,28,0,2,0,30,12
24,2017-11-27,8,1,0,1,10,6
24,2017-11-28,1,0,0,0,1,1
24,2017-11-29,5,0,0,0,5,4
24,2017-11-30,5,1,0,0,6,4
24,2017-12-02,1,0,0,0,1,1
24,2017-12-03,1,0,0,0,1,1
25,2017-11-25,9,0,0,0,9,6
25,2017-11-26,14,0,0,0,13,7
25,2017-11-27,5,0,1,1,6,3
25,2017-11-28,2,0,0,0,2,1
25,2017-11-29,13,0,0,2,14,8
25,2017-11-30,1,0,0,0,1,1
25,2017-12-01,1,0,0,0,1,1
25,2017-12-02,7,0,1,0,8,5
25,2017-12-03,3,0,0,0,2,1
26,2017-11-25,7,0,0,0,7,3
26,2017-11-30,2,0,0,0,2,1
26,2017-12-02,3,0,0,0,3,3
26,2017-12-03,8,1,0,0,8,2
27,2017-11-25,19,0,0,0,18,11
27,2017-11-26,1,0,0,0,1,1
27,2017-11-30,6,0,0,0,6,1
27,2017-12-01,13,2,0,1,10,3
27,2017-12-02,6,1,0,0,6,3
28,2017-11-25,9,0,0,0,9,7
28,2017-11-26,1,0,0,0,1,1
28,2017-11-27,0,0,1,0,1,1
28,2017-11-29,44,0,1,0,12,2
28,2017-11-30,8,0,0,0,6,2
28,2017-12-01,29,0,6,1,29,6
28,2017-12-02,34,0,1,2,27,16
28,2017-12-03,1,0,0,0,1,1
29,2017-11-25,1,0,0,0,1,1
29,2017-11-26,34,0,0,0,32,13
29,2017-11-27,17,0,0,0,16,9
29,2017-11-28,6,1,0,0,6,5
29,2017-11-29,10,0,0,0,10,5
29,2017-11-30,12,1,0,0,11,7
29,2017-12-01,6,0,0,0,6,2
29,2017-12-02,7,1,0,0,8,4
29,2017-12-03,56,1,0,0,42,12
30,2017-11-25,62,0,0,0,48,10
30,2017-11-26,27,0,0,0,26,9
30,2017-11-27,4,0,0,1,3,3
30,2017-11-28,5,0,0,0,5,5
30,2017-11-29,2,0,0,0,2,2
30,2017-11-30,5,0,0,0,5,4
30,2017-12-01,7,0,0,0,7,4
30,2017-12-02,66,0,0,0,60,12
30,2017-12-03,16,2,0,0,12,1
31,2017-11-26,1,0,0,0,1,1
31,2017-11-28,0,1,0,0,1,1
